ID,Date,CrimeEventID,CrimeActivity,StormEventID,StormActivity,ZoneCityID,Zone,City
2030507,10/29/2019,1.91002E+12,Burglary,774425,Coastal Flood,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030375,10/30/2019,1.91002E+12,Aggravated Assault,0,,6,MIAMI-DADE CO.,Cutler Bay
2030405,10/30/2019,1.91002E+12,Murder and Non-negligent manslaughter,774626,Tropical Storm,30,COASTAL MIAMI-DADE COUNTY,Sunny Isles Beach
2030479,10/30/2019,1.91002E+12,Aggravated Assault,0,,27,INLAND MIAMI-DADE,Palmetto Bay
2030471,10/30/2019,1.91002E+12,Aggravated Assault,774614,Lightning,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030314,10/30/2019,1.91002E+12,Robbery,0,,7,INLAND MIAMI-DADE,Doral
2030468,10/30/2019,1.91002E+12,Motor Vehicle - Theft,774508,Strong Wind Rain,11,METROPOLITAN MIAMI-DADE,Hialeah
2030311,10/30/2019,1.91002E+12,Murder and Non-negligent manslaughter,0,,7,INLAND MIAMI-DADE,Doral
2030339,10/30/2019,0,,774467,Lightning,10,MIAMI-DADE CO.,Golden Beach
2030367,10/30/2019,1.91002E+12,Motor Vehicle - Theft,774515,Tropical Storm,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030518,10/30/2019,0,,774567,Strong Wind Rain,16,MIAMI-DADE CO.,Medley
2030517,10/30/2019,0,,774410,Coastal Flood,15,COASTAL MIAMI-DADE COUNTY,Key Biscayne
2030376,10/31/2019,1.91002E+12,Property Crime,774468,Tropical Storm,13,METROPOLITAN MIAMI-DADE,Homestead
2030490,10/31/2019,1.91002E+12,Aggravated Assault,774534,Thunderstorm Wind,8,MIAMI-DADE CO.,El Portal
2030500,10/31/2019,1.91002E+12,Motor Vehicle - Theft,774692,Thunderstorm Wind,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030463,10/31/2019,1.91002E+12,Burglary,774532,Hail,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030472,10/31/2019,1.91002E+12,Aggravated Assault,774472,Hail,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030333,10/31/2019,1.91002E+12,Murder and Non-negligent manslaughter,774491,Strong Wind Rain,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030515,10/31/2019,0,,774558,Storm Surge/Tide,34,COASTAL MIAMI-DADE COUNTY,West Miami
2030361,10/31/2019,1.91002E+12,Motor Vehicle - Theft,0,,33,MIAMI-DADE CO.,Virginia Gardens
2030364,10/31/2019,1.91002E+12,Motor Vehicle - Theft,774494,Lightning,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030334,10/31/2019,1.91002E+12,Murder and Non-negligent manslaughter,774638,Thunderstorm Wind,13,METROPOLITAN MIAMI-DADE,Homestead
